seed,n_qubits,reps,fmap,alpha,readout,val_accuracy,n_params,train_loss,seconds
2024,6,2,zz,0.5,parity,0.7965,20,0.4899131642920122,1.24
2024,6,2,zz,0.5,z0,0.811,20,0.5125360298721212,1.28
2024,6,2,zz,1.0,parity,0.7745,20,0.4469027348811727,1.36
2024,6,2,zz,1.0,z0,0.7775,20,0.44412602512095134,1.29
2024,6,2,z,0.25,parity,0.813,20,0.6357917602797702,1.34
2024,6,2,z,0.25,z0,0.8055,20,0.618931186952927,1.31
2024,6,2,z,0.5,parity,0.809,20,0.5712388445749993,1.34
2024,6,2,z,0.5,z0,0.8085,20,0.5481471184209731,1.27
2024,6,2,z,1.0,parity,0.813,20,0.46182535522844953,1.24
2024,6,2,z,1.0,z0,0.815,20,0.4797826645162593,1.37
2024,6,4,zz,0.25,parity,0.798,32,0.5810705273017461,1.48
2024,6,4,zz,0.25,z0,0.796,32,0.5943743353155605,1.49
2024,6,4,zz,0.5,parity,0.7955,32,0.4936826633127514,1.58
2024,6,4,zz,0.5,z0,0.791,32,0.5124095646950587,1.51
2024,6,4,zz,1.0,parity,0.7825,32,0.41834293793932875,1.45
2024,6,4,zz,1.0,z0,0.783,32,0.44017545979545436,1.48
2024,6,4,z,0.25,parity,0.807,32,0.6445467819486037,1.48
2024,6,4,z,0.25,z0,0.794,32,0.6364415245102206,1.46
2024,6,4,z,0.5,parity,0.811,32,0.563561256942822,1.46
2024,6,4,z,0.5,z0,0.814,32,0.5502456004846931,1.41
2024,6,4,z,1.0,parity,0.8085,32,0.4825091557267448,1.47
2024,6,4,z,1.0,z0,0.807,32,0.4788400260113895,1.42
2024,8,2,zz,0.25,parity,0.8075,26,0.589269014914134,8.34
2024,8,2,zz,0.25,z0,0.7985,26,0.6205504875809379,8.45
2024,8,2,zz,0.5,parity,0.8025,26,0.4872202800434312,8.57
2024,8,2,zz,0.5,z0,0.7555,26,0.5618186693564355,9.21
2024,8,2,zz,1.0,parity,0.7905,26,0.4307845580649221,8.52
2024,8,2,zz,1.0,z0,0.768,26,0.4798710750479974,8.9
2024,8,2,z,0.25,parity,0.811,26,0.631669676800748,9.23
2024,8,2,z,0.25,z0,0.8025,26,0.6365740021888345,8.62
2024,8,2,z,0.5,parity,0.8135,26,0.5443214102785766,7.95
2024,8,2,z,0.5,z0,0.806,26,0.5628303211358794,8.58
2024,8,2,z,1.0,parity,0.8185,26,0.46269561712679547,8.49
2024,8,2,z,1.0,z0,0.8055,26,0.52229811233326,9.18
2024,8,4,zz,0.25,parity,0.8,42,0.5956387984673193,11.75
2024,8,4,zz,0.25,z0,0.8095,42,0.6114171603663672,11.87
2024,8,4,zz,0.5,parity,0.7925,42,0.525126700402954,12.2
2024,8,4,zz,0.5,z0,0.787,42,0.5384743185024459,11.77
2024,8,4,zz,1.0,parity,0.791,42,0.43143146584320247,11.95
2024,8,4,zz,1.0,z0,0.786,42,0.42421973077511177,12.14
2024,8,4,z,0.25,parity,0.8085,42,0.6470467161546698,12.49
2024,8,4,z,0.25,z0,0.8045,42,0.6250023342454651,12.27
2024,8,4,z,0.5,parity,0.812,42,0.569022759328947,13.09
2024,8,4,z,0.5,z0,0.8075,42,0.546832406783158,12.48
2024,8,4,z,1.0,parity,0.804,42,0.46445185198637146,12.95
2024,8,4,z,1.0,z0,0.8055,42,0.5293560025505836,11.86
